team,type,line,american,decimal,impliedProb,n,successes,fails,ties,successRate,failRate,tieRate,ev
BUF Bills,UNDER,13.5,-600,1.16666667,0.8571428546938776,100000,94111,5889,0,0.94111,0.05889,0,0.09796166980369991
BUF Bills,OVER,14.5,750,8.5,0.11764705882352941,100000,1811,98189,0,0.01811,0.98189,0,-0.8460650000000001
BUF Bills,UNDER,14.5,-1600,1.0625,0.9411764705882353,100000,98189,1811,0,0.98189,0.01811,0,0.043258125
BUF Bills,OVER,15.5,1400,15,0.06666666666666667,100000,372,99628,0,0.00372,0.99628,0,-0.9442
BUF Bills,UNDER,15.5,-5000,1.02,0.9803921568627451,100000,99628,372,0,0.99628,0.00372,0,0.016205600000000018
CAR Panthers,OVER,3.5,-1400,1.07142858,0.9333333258666666,100000,96409,3591,0,0.96409,0.03591,0,0.03295357969220007
CAR Panthers,UNDER,3.5,700,8,0.125,100000,3591,96409,0,0.03591,0.96409,0,-0.71272
CAR Panthers,OVER,4.5,-600,1.16666667,0.8571428546938776,100000,90846,9154,0,0.90846,0.09154,0,0.059870003028199933
CAR Panthers,UNDER,4.5,425,5.25,0.19047619047619047,100000,9154,90846,0,0.09154,0.90846,0,-0.5194150000000001
CAR Panthers,OVER,5.5,-300,1.33333334,0.74999999625,100000,81334,18666,0,0.81334,0.18666,0,0.08445333875560002
CAR Panthers,UNDER,5.5,235,3.35,0.29850746268656714,100000,18666,81334,0,0.18666,0.81334,0,-0.37468899999999994
CAR Panthers,OVER,6.5,-180,1.55555556,0.6428571410204081,100000,67693,32307,0,0.67693,0.32307,0,0.05300222523079995
CAR Panthers,UNDER,6.5,145,2.45,0.4081632653061224,100000,32307,67693,0,0.32307,0.67693,0,-0.20847849999999996
CAR Panthers,OVER,7.5,-120,1.83333334,0.5454545434710744,100000,51577,48423,0,0.51577,0.48423,0,-0.05442166322820002
CAR Panthers,UNDER,7.5,100,2,0.5,100000,48423,51577,0,0.48423,0.51577,0,-0.03153999999999996
CAR Panthers,OVER,8.5,170,2.7,0.37037037037037035,100000,35034,64966,0,0.35034,0.64966,0,-0.05408199999999996
CAR Panthers,UNDER,8.5,-215,1.46511628,0.682539682106324,100000,64966,35034,0,0.64966,0.35034,0,-0.0481725575352
CAR Panthers,OVER,9.5,350,4.5,0.2222222222222222,100000,20895,79105,0,0.20895,0.79105,0,-0.05972500000000003
CAR Panthers,UNDER,9.5,-475,1.21052632,0.8260869536483931,100000,79105,20895,0,0.79105,0.20895,0,-0.042413154563999966
CAR Panthers,OVER,10.5,550,6.5,0.15384615384615385,100000,10921,89079,0,0.10921,0.89079,0,-0.2901349999999999
CAR Panthers,UNDER,10.5,-900,1.11111112,0.8999999928000001,100000,89079,10921,0,0.89079,0.10921,0,-0.010233325415200098
CAR Panthers,OVER,11.5,800,9,0.1111111111111111,100000,4791,95209,0,0.04791,0.95209,0,-0.56881
CAR Panthers,UNDER,11.5,-2000,1.05,0.9523809523809523,100000,95209,4791,0,0.95209,0.04791,0,-0.0003054999999999586
CHI Bears,OVER,3.5,-2000,1.05,0.9523809523809523,100000,97060,2940,0,0.9706,0.0294,0,0.019130000000000046
CHI Bears,UNDER,3.5,800,9,0.1111111111111111,100000,2940,97060,0,0.0294,0.9706,0,-0.7354
CHI Bears,OVER,4.5,-1000,1.1,0.9090909090909091,100000,92304,7696,0,0.92304,0.07696,0,0.01534400000000008
CHI Bears,UNDER,4.5,600,7,0.14285714285714285,100000,7696,92304,0,0.07696,0.92304,0,-0.46127999999999997
CHI Bears,OVER,5.5,-350,1.28571429,0.7777777751851852,100000,83473,16527,0,0.83473,0.16527,0,0.07322428929170002
CHI Bears,UNDER,5.5,270,3.7,0.27027027027027023,100000,16527,83473,0,0.16527,0.83473,0,-0.38850099999999993
CHI Bears,OVER,6.5,-225,1.44444445,0.6923076896449705,100000,70801,29199,0,0.70801,0.29199,0,0.02268111504449999
CHI Bears,UNDER,6.5,185,2.85,0.3508771929824561,100000,29199,70801,0,0.29199,0.70801,0,-0.16782849999999994
CHI Bears,OVER,7.5,-130,1.76923077,0.5652173910586011,100000,54900,45100,0,0.549,0.451,0,-0.02869230726999994
CHI Bears,UNDER,7.5,110,2.1,0.47619047619047616,100000,45100,54900,0,0.451,0.549,0,-0.0529
CHI Bears,OVER,8.5,140,2.4,0.4166666666666667,100000,38095,61905,0,0.38095,0.61905,0,-0.08572000000000002
CHI Bears,UNDER,8.5,-175,1.57142858,0.6363636328925619,100000,61905,38095,0,0.61905,0.38095,0,-0.02720713755099996
CHI Bears,OVER,9.5,270,3.7,0.27027027027027023,100000,23214,76786,0,0.23214,0.76786,0,-0.14108199999999993
CHI Bears,UNDER,9.5,-350,1.28571429,0.7777777751851852,100000,76786,23214,0,0.76786,0.23214,0,-0.012751425280599998
CHI Bears,OVER,10.5,380,4.8,0.20833333333333334,100000,12110,87890,0,0.1211,0.8789,0,-0.41872000000000004
CHI Bears,UNDER,10.5,-500,1.2,0.8333333333333334,100000,87890,12110,0,0.8789,0.1211,0,0.054679999999999965
CHI Bears,OVER,11.5,900,10,0.1,100000,5466,94534,0,0.05466,0.94534,0,-0.45339999999999997
CHI Bears,UNDER,11.5,-2500,1.04,0.9615384615384615,100000,94534,5466,0,0.94534,0.05466,0,-0.01684639999999997
CIN Bengals,OVER,6.5,-2500,1.04,0.9615384615384615,100000,95687,4313,0,0.95687,0.04313,0,-0.004855199999999969
CIN Bengals,UNDER,6.5,900,10,0.1,100000,4313,95687,0,0.04313,0.95687,0,-0.5687
CIN Bengals,OVER,7.5,-1000,1.1,0.9090909090909091,100000,89954,10046,0,0.89954,0.10046,0,-0.010505999999999918
CIN Bengals,UNDER,7.5,600,7,0.14285714285714285,100000,10046,89954,0,0.10046,0.89954,0,-0.29678000000000004
CIN Bengals,OVER,8.5,-450,1.22222223,0.8181818129752066,100000,79935,20065,0,0.79935,0.20065,0,-0.02301666044949993
CIN Bengals,UNDER,8.5,330,4.3,0.23255813953488372,100000,20065,79935,0,0.20065,0.79935,0,-0.13720500000000002
CIN Bengals,OVER,9.5,-250,1.4,0.7142857142857143,100000,65402,34598,0,0.65402,0.34598,0,-0.08437200000000006
CIN Bengals,UNDER,9.5,190,2.9,0.3448275862068966,100000,34598,65402,0,0.34598,0.65402,0,0.003341999999999956
CIN Bengals,OVER,10.5,-130,1.76923077,0.5652173910586011,100000,47772,52228,0,0.47772,0.52228,0,-0.15480307655559994
CIN Bengals,UNDER,10.5,110,2.1,0.47619047619047616,100000,52228,47772,0,0.52228,0.47772,0,0.09678800000000004
CIN Bengals,OVER,11.5,125,2.25,0.4444444444444444,100000,30369,69631,0,0.30369,0.69631,0,-0.31669749999999997
CIN Bengals,UNDER,11.5,-150,1.66666667,0.5999999988,100000,69631,30369,0,0.69631,0.30369,0,0.1605166689876999
CIN Bengals,OVER,12.5,260,3.6,0.2777777777777778,100000,16173,83827,0,0.16173,0.83827,0,-0.4177719999999999
CIN Bengals,UNDER,12.5,-350,1.28571429,0.7777777751851852,100000,83827,16173,0,0.83827,0.16173,0,0.07777571787830001
CIN Bengals,OVER,13.5,425,5.25,0.19047619047619047,100000,6813,93187,0,0.06813,0.93187,0,-0.6423175
CIN Bengals,UNDER,13.5,-650,1.15384616,0.8666666620444444,100000,93187,6813,0,0.93187,0.06813,0,0.07523462111920007
CIN Bengals,OVER,14.5,800,9,0.1111111111111111,100000,2185,97815,0,0.02185,0.97815,0,-0.80335
CIN Bengals,UNDER,14.5,-1600,1.0625,0.9411764705882353,100000,97815,2185,0,0.97815,0.02185,0,0.039284374999999996
CLE Browns,OVER,4.5,-2000,1.05,0.9523809523809523,100000,97522,2478,0,0.97522,0.02478,0,0.02398100000000004
CLE Browns,UNDER,4.5,800,9,0.1111111111111111,100000,2478,97522,0,0.02478,0.97522,0,-0.77698
CLE Browns,OVER,5.5,-1000,1.1,0.9090909090909091,100000,93459,6541,0,0.93459,0.06541,0,0.028049000000000088
CLE Browns,UNDER,5.5,600,7,0.14285714285714285,100000,6541,93459,0,0.06541,0.93459,0,-0.54213
CLE Browns,OVER,6.5,-450,1.22222223,0.8181818129752066,100000,85794,14206,0,0.85794,0.14206,0,0.04859334000620008
