TB Buccaneers,15,301,0.0033222591362126247,FanDuel,0.00007,-0.97893
TB Buccaneers,16,301,0.0033222591362126247,DraftKings,0.00003,-0.99097
MIN Vikings,0,301,0.0033222591362126247,FanDuel,0.00001,-0.99699
MIN Vikings,1,151,0.006622516556291391,DraftKings,0.00026,-0.9607399999999999
MIN Vikings,2,61,0.01639344262295082,DraftKings,0.00156,-0.90484
MIN Vikings,3,31,0.03225806451612903,DraftKings,0.00645,-0.80005
MIN Vikings,4,19,0.05263157894736842,DraftKings,0.02232,-0.57592
MIN Vikings,5,13,0.07692307692307693,DraftKings,0.05497,-0.28539000000000003
MIN Vikings,6,9,0.1111111111111111,DraftKings,0.10093,-0.09162999999999999
MIN Vikings,7,8,0.125,FanDuel,0.15,0.20000000000000007
MIN Vikings,8,7,0.14285714285714285,FanDuel,0.18077,0.2653899999999999
MIN Vikings,9,7,0.14285714285714285,FanDuel,0.18005,0.26034999999999986
MIN Vikings,10,7.5,0.13333333333333333,FanDuel,0.14161,0.0620750000000001
MIN Vikings,11,8.5,0.11764705882352941,DraftKings,0.08962,-0.23822999999999994
MIN Vikings,12,11,0.09090909090909091,DraftKings,0.04654,-0.48806
MIN Vikings,13,16,0.0625,DraftKings,0.01877,-0.6996800000000001
MIN Vikings,14,27,0.037037037037037035,FanDuel,0.00492,-0.8671599999999999
MIN Vikings,15,61,0.01639344262295082,DraftKings,0.00106,-0.9353400000000001
MIN Vikings,16,131,0.007633587786259542,DraftKings,0.00016,-0.9790399999999999
SF 49ers,0,301,0.0033222591362126247,DraftKings,0,-1
SF 49ers,1,301,0.0033222591362126247,DraftKings,0.00002,-0.99398
SF 49ers,2,281,0.0035587188612099642,FanDuel,0.00008,-0.9775200000000001
SF 49ers,3,151,0.006622516556291391,DraftKings,0.00042,-0.93658
SF 49ers,4,76,0.013157894736842105,FanDuel,0.00218,-0.8343200000000001
SF 49ers,5,36,0.027777777777777776,DraftKings,0.00828,-0.7019200000000001
SF 49ers,6,23,0.043478260869565216,DraftKings,0.02555,-0.41235
SF 49ers,7,15,0.06666666666666667,DraftKings,0.05674,-0.14890000000000003
SF 49ers,8,10,0.1,FanDuel,0.10522,0.05219999999999991
SF 49ers,9,8,0.125,DraftKings,0.15781,0.26248000000000005
SF 49ers,10,7,0.14285714285714285,FanDuel,0.18784,0.31488000000000005
SF 49ers,11,6,0.16666666666666666,DraftKings,0.18135,0.08810000000000007
SF 49ers,12,6.5,0.15384615384615385,FanDuel,0.14013,-0.08915499999999998
SF 49ers,13,7,0.14285714285714285,DraftKings,0.08286,-0.4199799999999999
SF 49ers,14,10,0.1,DraftKings,0.03699,-0.6301
SF 49ers,15,18,0.05555555555555555,FanDuel,0.01196,-0.7847200000000001
SF 49ers,16,41,0.024390243902439025,DraftKings,0.00228,-0.90652
PIT Steelers,0,301,0.0033222591362126247,FanDuel,0.00004,-0.98796
