LA Rams,0,96
LA Rams,1,27
LA Rams,2,13
LA Rams,3,9.5
LA Rams,4,7
LA Rams,5,6
LA Rams,6,6
LA Rams,7,7
LA Rams,8,8.5
LA Rams,9,11
LA Rams,10,15
LA Rams,11,25
LA Rams,12,37
LA Rams,13,61
LA Rams,14,111
LA Rams,15,301
LA Rams,16,301
LA Rams,17,301
MIA Dolphins,17,251
MIA Dolphins,16,71
MIA Dolphins,15,33
MIA Dolphins,14,18
MIA Dolphins,13,11
MIA Dolphins,12,8.5
MIA Dolphins,11,7
MIA Dolphins,10,7
MIA Dolphins,9,7
MIA Dolphins,8,7.5
MIA Dolphins,7,8.5
MIA Dolphins,6,12
MIA Dolphins,5,17
MIA Dolphins,4,25
MIA Dolphins,3,46
MIA Dolphins,2,81
MIA Dolphins,1,191
MIA Dolphins,0,301
MIN Vikings,17,301
MIN Vikings,16,141
MIN Vikings,15,48
MIN Vikings,14,27
MIN Vikings,13,17
MIN Vikings,12,11
MIN Vikings,11,8
MIN Vikings,10,7.5
MIN Vikings,9,7
MIN Vikings,8,7
MIN Vikings,7,8
MIN Vikings,6,9
MIN Vikings,5,11
MIN Vikings,4,17
MIN Vikings,3,28
MIN Vikings,2,56
MIN Vikings,1,121
MIN Vikings,0,301
NE Patriots,0,181
NE Patriots,1,41
NE Patriots,2,20
NE Patriots,3,12
NE Patriots,4,9.5
NE Patriots,5,7.5
NE Patriots,6,7
NE Patriots,7,7
NE Patriots,8,7.5
NE Patriots,9,8
NE Patriots,10,10.5
NE Patriots,11,15
NE Patriots,12,21
NE Patriots,13,32
NE Patriots,14,71
NE Patriots,15,181
NE Patriots,16,301
NE Patriots,17,301
NO Saints,17,301
NO Saints,16,91
NO Saints,15,35
NO Saints,14,22
NO Saints,13,15
NO Saints,12,10
NO Saints,11,7.5
NO Saints,10,7.5
NO Saints,9,7
NO Saints,8,7.5
NO Saints,7,8
NO Saints,6,10.5
NO Saints,5,13
NO Saints,4,20
NO Saints,3,31
NO Saints,2,66
NO Saints,1,131
NO Saints,0,301
NY Giants,17,301
NY Giants,16,251
NY Giants,15,151
NY Giants,14,56
NY Giants,13,32
NY Giants,12,19
NY Giants,11,12
NY Giants,10,9.5
NY Giants,9,7
NY Giants,8,6.5
NY Giants,7,6.5
NY Giants,6,7.5
NY Giants,5,8
NY Giants,4,11
NY Giants,3,17
NY Giants,2,27
NY Giants,1,66
NY Giants,0,231
NY Jets,17,191
NY Jets,16,61
NY Jets,15,30
NY Jets,14,16
NY Jets,13,12
NY Jets,12,8.5
NY Jets,11,7
NY Jets,10,7
NY Jets,9,7
NY Jets,8,8
NY Jets,7,9
NY Jets,6,11
NY Jets,5,18
NY Jets,4,28
NY Jets,3,47
NY Jets,2,101
NY Jets,1,221
NY Jets,0,301
PHI Eagles,17,96
PHI Eagles,16,29
PHI Eagles,15,14
PHI Eagles,14,9
PHI Eagles,13,7
PHI Eagles,12,6
PHI Eagles,11,6.5
PHI Eagles,10,7
PHI Eagles,9,8.5
PHI Eagles,8,11
PHI Eagles,7,16
PHI Eagles,6,24
PHI Eagles,5,38
PHI Eagles,4,91
PHI Eagles,3,111
PHI Eagles,2,301
PHI Eagles,1,301
PHI Eagles,0,301
PIT Steelers,17,221
PIT Steelers,16,101
PIT Steelers,15,43
PIT Steelers,14,20
PIT Steelers,13,13
PIT Steelers,12,10.5
PIT Steelers,11,8
PIT Steelers,10,7
PIT Steelers,9,7
PIT Steelers,8,7.5
PIT Steelers,7,8
PIT Steelers,6,10
PIT Steelers,5,13
PIT Steelers,4,20
PIT Steelers,3,33
PIT Steelers,2,76
PIT Steelers,1,151
PIT Steelers,0,301
SF 49ers,17,91
SF 49ers,16,30
SF 49ers,15,13
SF 49ers,14,9
SF 49ers,13,7
SF 49ers,12,6
SF 49ers,11,6
SF 49ers,10,7
SF 49ers,9,8.5
SF 49ers,8,11
SF 49ers,7,15
SF 49ers,6,27
SF 49ers,5,39
SF 49ers,4,71
SF 49ers,3,131
SF 49ers,2,301
SF 49ers,1,301
SF 49ers,0,301
SEA Seahawks,17,301
SEA Seahawks,16,111
SEA Seahawks,15,44
SEA Seahawks,14,23
SEA Seahawks,13,16
SEA Seahawks,12,10
SEA Seahawks,11,8
SEA Seahawks,10,7.5
SEA Seahawks,9,6.5
SEA Seahawks,8,6.5
SEA Seahawks,7,7.5
SEA Seahawks,6,9.5
SEA Seahawks,5,13
SEA Seahawks,4,22
SEA Seahawks,3,36
SEA Seahawks,2,81
SEA Seahawks,1,181
SEA Seahawks,0,301
TB Buccaneers,0,96
TB Buccaneers,1,27
TB Buccaneers,2,14
TB Buccaneers,3,9
TB Buccaneers,4,7
TB Buccaneers,5,6.5
TB Buccaneers,6,6.5
TB Buccaneers,7,6.5
TB Buccaneers,8,8.5
TB Buccaneers,9,11
TB Buccaneers,10,16
TB Buccaneers,11,22
TB Buccaneers,12,33
TB Buccaneers,13,76
TB Buccaneers,14,111
TB Buccaneers,15,301
TB Buccaneers,16,301
TB Buccaneers,17,301
TEN Titans,0,231
TEN Titans,1,76
TEN Titans,2,31
TEN Titans,3,20
TEN Titans,4,12
TEN Titans,5,9.5
TEN Titans,6,7.5
TEN Titans,7,7
TEN Titans,8,7
TEN Titans,9,7.5
TEN Titans,10,8.5
TEN Titans,11,10.5
TEN Titans,12,15
TEN Titans,13,25
TEN Titans,14,40
TEN Titans,15,76
TEN Titans,16,191
TEN Titans,17,301
WAS Commanders,0,101
WAS Commanders,1,33
WAS Commanders,2,17
WAS Commanders,3,9.5
WAS Commanders,4,7
WAS Commanders,5,6.5
WAS Commanders,6,6
WAS Commanders,7,7
WAS Commanders,8,8
WAS Commanders,9,10.5
WAS Commanders,10,15
WAS Commanders,11,21
WAS Commanders,12,33
WAS Commanders,13,56
WAS Commanders,14,101
WAS Commanders,15,301
WAS Commanders,16,301
WAS Commanders,17,301
